loss,val_loss,acc,val_acc
0.98715,0.32406,0.6855,0.8737
0.30836,0.21128,0.8997,0.9297
0.18991,0.17816,0.9368,0.9362
0.16657,0.15936,0.9414,0.9414
0.11555,0.19511,0.9570,0.9180
0.10954,0.19315,0.9635,0.9271
0.07303,0.14365,0.9746,0.9401
0.06374,0.11020,0.9746,0.9479
0.06153,0.16297,0.9769,0.9323
0.07091,0.13851,0.9749,0.9453
0.06543,0.15227,0.9736,0.9388
0.06396,0.18259,0.9714,0.9310
0.06909,0.13956,0.9714,0.9375
0.04548,0.17036,0.9788,0.9427
0.05002,0.16950,0.9792,0.9297
0.04801,0.18787,0.9792,0.9362
0.05330,0.18510,0.9769,0.9375
0.03901,0.12545,0.9808,0.9388
0.04852,0.13762,0.9769,0.9453
0.04174,0.16034,0.9805,0.9414
0.03995,0.16243,0.9808,0.9479
0.05151,0.19289,0.9759,0.9362
0.06514,0.19223,0.9740,0.9336
0.03680,0.20934,0.9831,0.9284
0.04154,0.22552,0.9782,0.9258
0.04489,0.20480,0.9782,0.9219
0.03995,0.15456,0.9795,0.9453
0.04282,0.14981,0.9808,0.9466
0.06471,0.15667,0.9740,0.9388
0.04253,0.17457,0.9795,0.9336
